"主题","回复用户","回复内容"
"【专访】专访PCPI决赛FPP冠军战队OMG：心志坚定 剑指冠军！","manutd_Olivier","我的天啊，看完访谈的感觉就是：笑容就像个大boss，处变不惊威望极高，平时笑嘻嘻的指挥这几个猛男，必要时候也能愤怒变身亲自杀戮。顿时觉得这个队有点可怕~4am和17在omg面前可能真的是个弟弟发自虎扑iPhone客户端"
"【专访】专访PCPI决赛FPP冠军战队OMG：心志坚定 剑指冠军！","呵呵呵呵是嘛","OMG德国柏林加油！悄咪咪带上膨胀的林大哈哈发自虎扑iPhone客户端"
"聊一聊国内绝地求生职业战队战术吧","ChaoXue","天选也有落到4am的时候啊，以前都是“天谴”，“全程赶圈”，“跳4am对面就稳了”.发自虎扑Android客户端"
"你有没有标点豪宅开伞之后就去了旁边猪圈","亦念的光泽","保留火种，战略性转移😁😁发自虎扑Android客户端"
"聊一聊国内绝地求生职业战队战术吧","Valkt","其实4am在比赛之前的训练赛也是偏向占山地高点打靶观测的 训练赛至少我看的很多吃鸡都是山地战。。。这个比赛风格真的很难说应该会根据参赛对手的战术来调整。。4am几次大赛的风格我觉得就完全不一样"
"聊一聊国内绝地求生职业战队战术吧","隔壁王哥棒棒棒","引用3楼 @掬一捧明月 发表的:有印象的确实就这两场，而且很深兄弟，17 20杀第四跟17杀吃鸡哪吧不是天命打靶。4am就最后一场天命圈就成了靠天命的战术？发自虎扑Android客户端"
"聊一聊国内绝地求生职业战队战术吧","古木sitter","看得想笑，不过我四阿妹和T0并列总感觉有些怪怪的发自虎扑Android客户端"
"你有没有标点豪宅开伞之后就去了旁边猪圈","打烂你的冼澡盆x","我都是跳了豪宅被人追着往外面跑，233发自虎扑Android客户端"
"昨晚看了msjoy直播时重播看的欧洲出线的比赛，欧洲战队真的好强，大家讨论一下pgi","0一生绿凯0","反正昨天他分析faze那波用摩托车和小反斜拉枪线2v4把我秀到了发自虎扑iPhone客户端"
"真的是这样吗？你玩吃鸡会记住淘汰你的人ID吗？","一头死胖子","我只会记得我杀死的对手！毕竟.....杀死我的人多了...你算老几..发自虎扑iPhone客户端"
"jbda快被女主播锤自闭了","snaketc堡垒","引用27楼 @家葛愛情 发表的:baolei打csgo也太弟弟了我700块的沙鹰秒4750的大狙，还算弟弟呀发自虎扑iPhone客户端"
"真的是这样吗？你玩吃鸡会记住淘汰你的人ID吗？","烤鱼的故事","zszszszszs发自虎扑iPhone客户端"
"真的是这样吗？你玩吃鸡会记住淘汰你的人ID吗？","BeckRed","我是完全不记 甚至不会刻意去看的....发自虎扑iPhone客户端"
"真的是这样吗？你玩吃鸡会记住淘汰你的人ID吗？","Ejita","这就是信息收集能力的一种啊， 就像lol王者局你碰到了之前碰到过的就会知道他的风格可以 针对发自虎扑Android客户端"
"真的是这样吗？你玩吃鸡会记住淘汰你的人ID吗？","搁浅者","说明你死的还不够多发自虎扑iPhone客户端"
"真的是这样吗？你玩吃鸡会记住淘汰你的人ID吗？","609817040","碰到外挂会记住名字告诉还没倒的队友发自虎扑Android客户端"
"jbda快被女主播锤自闭了","snaketc堡垒","引用39楼 @zsdxzsy 发表的:小堡垒貌似只会玩手枪和狙，长枪擀面杖哈哈哈聪明发自虎扑iPhone客户端"
"jbda快被女主播锤自闭了","往右拉满","211就手枪1串4秀了把，然后无限自闭，哈哈发自虎扑Android客户端"
"jbda快被女主播锤自闭了","snaketc堡垒","引用40楼 @unfatt 发表的:四个加时熬死人哈哈哈哈哈哈哈哈发自虎扑iPhone客户端"
"jbda快被女主播锤自闭了","小萌凳","女主播火猫TV小小龙发自虎扑Android客户端"
"jbda快被女主播锤自闭了","奎克利123","火猫是csgo专攻的直播平台 绝地大佬被锤应该很正常。"
"jbda快被女主播锤自闭了","ZH5920","终于打完了 熬死了……发自虎扑iPhone客户端"
"jbda快被女主播锤自闭了","人云亦云a","终于赢了 好像跟小狮子都是49杀  但是各项数据MVP都是莉莉的"
"jbda快被女主播锤自闭了","我擦迈","今年估计看不到这五个B碰这玩意儿了 问候下张妈哟发自虎扑iPhone客户端"
"现在职业队的工资是多少呀","mifengaaa","你朋友可能被传销了吧 发自虎扑iPhone客户端"
"现在职业队的工资是多少呀","智v胜","引用34楼 @mifengaaa 发表的:你朋友可能被传销了吧 他朋友叫马诗恒发自虎扑Android客户端"
"现在职业队的工资是多少呀","azhangaa","你要么就是来骗经验的 要么你朋友就是被人骗了"
